,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6
TCGA-A2-A0YT-01A-11D-A10G-09,0.27642685823876345,0.6496376910538665,0.05316511549940268,0.014947510215148766,0.0029081593299978615,0.0029146656628207235
TCGA-A8-A083-01A-21W-A019-09,0.07874117684551851,0.2686377610823784,0.005645289652197273,0.6357097784451964,0.00563382642634041,0.005632167548368976
TCGA-BH-A0B4-01A-11W-A019-09,0.002491752051509743,0.2549217672546754,0.0024859630623337986,0.4750899435769318,0.26253388988959425,0.0024766841649549354
TCGA-EW-A1P8-01A-11D-A142-09,0.004825643763269759,0.4118761277463188,0.00480689227547714,0.283186733211308,0.2904748000097256,0.004829802993900567
TCGA-BH-A0GZ-01A-11W-A071-09,0.005238337893549392,0.11480314830627654,0.005269963011248559,0.32590923434256963,0.543541823146715,0.005237493299641002
TCGA-A2-A0CV-01A-31D-A10Y-09,0.10449471015131401,0.29346270523583173,0.0077060480699196856,0.007653738657588655,0.007663799099929686,0.5790189987854161
TCGA-C8-A12Q-01A-11D-A10Y-09,0.07942852698766312,0.1808884437539373,0.5892094350532285,0.0014886980311254354,0.10024997266355347,0.0487349235104922
TCGA-AR-A1AL-01A-21D-A12Q-09,0.0061954207993695845,0.45462846082941116,0.10062985620075261,0.006232138668549042,0.18334420688837258,0.2489699166135451
TCGA-BH-A1F6-01A-11D-A13L-09,0.004421489183390188,0.6801732515570209,0.004454025013976464,0.004441588977543995,0.20993659235472384,0.09657305291334452
TCGA-AO-A12H-01A-11D-A10Y-09,0.00767774042665063,0.47167903978228365,0.007620709420802519,0.007662066290178131,0.49772103558116704,0.007639408498918131
TCGA-B6-A0WY-01A-11D-A10G-09,0.0070202814233922654,0.5062964479222032,0.007019616089217116,0.06825916780293062,0.40435751673628356,0.007046970025973201
TCGA-AN-A0XP-01A-11D-A117-09,0.005874656420048455,0.005817209171328511,0.2642344755835705,0.2955209348904514,0.005811554469175637,0.4227411694654254
TCGA-E9-A1NC-01A-12W-A16L-09,0.002410306775132388,0.5786976385417465,0.053971123477849214,0.3601014557902102,0.002407401510289325,0.0024120739047723363
TCGA-LL-A740-01A-21D-A32I-09,0.0035238677823124756,0.41399748029381156,0.0035190177196735327,0.0035170583860529405,0.40288012324663214,0.1725624525715173
TCGA-E2-A15S-01A-11D-A10Y-09,0.00305007408722682,0.5227055295744273,0.0878580916646549,0.2771830095232442,0.003064247597020228,0.10613904755342662
TCGA-AN-A046-01A-21W-A050-09,0.999419055657557,2.8265067025432785e-05,2.817304812159711e-05,2.8257099767736462e-05,2.8276102960081584e-05,0.0004679730245681551
TCGA-EW-A6SB-01A-12D-A32I-09,0.0028500813767972444,0.6322229990955449,0.08825322389025245,0.002856687339181703,0.0028617020174319806,0.2709553062807917
TCGA-E9-A1R5-01A-11D-A14K-09,0.0037549083063247173,0.6169347162207633,0.0037601216334954574,0.0037376810057004107,0.36807114332946494,0.003741429504251166
