,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
TCGA-A2-A0EQ-01A-11W-A050-09,0.000537393038100372,0.0005376655028215159,0.6959443164267166,0.0005375959888211026,0.0005374564918962609,0.048396665543698335,0.2529715248120236,0.0005373821959222276
TCGA-AR-A1AS-01A-11D-A12Q-09,0.09256356181906061,0.0031315276112485677,0.2780716171335578,0.0031292513893582856,0.31078981649810705,0.003131175125041047,0.003131332359024472,0.3060517180646022
TCGA-D8-A27K-01A-11D-A16D-09,0.006258104430039748,0.006258405599362337,0.006262148311239253,0.1982920058922548,0.006262556859561507,0.006263823801608646,0.16915214089857425,0.6012508142073595
TCGA-BH-A0BF-01A-21D-A12Q-09,0.004037543129983772,0.0040387092314749075,0.004040516501062061,0.004037681395533546,0.004040204752136173,0.004040376948216595,0.6515463093894742,0.3242186586521188
TCGA-E2-A1IJ-01A-11D-A142-09,0.008348161495803185,0.31051277812820316,0.008340248264009822,0.3922472113646383,0.008347617771275235,0.008353186998698935,0.008347554136002227,0.2555032418413691
TCGA-BH-A1F5-01A-12D-A13L-09,0.003917261823123564,0.003914684460075615,0.003911892339186633,0.003915922187723832,0.6352669911322276,0.003914749495576648,0.003915274065994109,0.34124322449609185
TCGA-BH-A0B5-01A-11D-A12Q-09,0.00212253467381157,0.002122079124562207,0.771889579569953,0.0021232475045931502,0.002123098298562349,0.12454399454088178,0.002122280587372697,0.09295318570026338
TCGA-A2-A0YT-01A-11D-A10G-09,0.2514708974990448,0.002158080173140168,0.002160552481561534,0.0021592490075941044,0.0021589866061820537,0.002159133245350418,0.5141237545594725,0.22360934642765443
TCGA-A8-A083-01A-21W-A019-09,0.11883248951404317,0.0041788593065487335,0.004171026958586468,0.004175217107540157,0.8561166714665741,0.004175741004917617,0.004175897283158189,0.004174097358631596
TCGA-BH-A0B4-01A-11W-A019-09,0.0018437714719810108,0.0018414468213423388,0.033517137473766154,0.10255460987813093,0.2640543168161084,0.001841894473927956,0.592504269014964,0.0018425540497791473
TCGA-EW-A1P8-01A-11D-A142-09,0.09553761416963373,0.0035772927304802537,0.0035780721561545583,0.0035774084672416293,0.0035788834823747757,0.18194374771823427,0.7046285784378867,0.0035784028379940566
TCGA-BH-A0GZ-01A-11W-A071-09,0.003911107172544703,0.003911179483835441,0.00391610077694651,0.0039137174900055706,0.4131836204053883,0.003911176046265075,0.4625201173738801,0.10473298125113426
TCGA-A2-A0CV-01A-31D-A10Y-09,0.0056913158421108365,0.005690885051514861,0.005694218433832087,0.005693927667479895,0.005692483308389156,0.2560345132682465,0.13823288628364824,0.5772697701447784
