,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
TCGA-A2-A3XW-01A-11D-A23C-09,0.014290205070088161,0.014287057737177674,0.01428932172366945,0.01428754020313922,0.531307984825252,0.18570808552032048,0.0142900502039996,0.014289705769023504,0.014287578026685581,0.18296247092064433
TCGA-A2-A0EO-01A-11W-A050-09,0.003448871608669599,0.003448946780459277,0.0034492011008276195,0.44792152285874903,0.0034494490555537225,0.0034491421937730337,0.0034490692552189045,0.0034491361940546736,0.5244857074268092,0.0034489535258849847
TCGA-EW-A1J2-01A-21D-A13L-09,0.0030310371007985443,0.0030311993296705036,0.003031392625426424,0.003030775908716342,0.48317896719790543,0.0030314170648394092,0.0030312153122242385,0.0030312673937048684,0.4925715837217724,0.003031144344941768
TCGA-AR-A255-01A-11D-A167-09,0.14110478962178688,0.29883357218678813,0.0016671893317617326,0.0016670866061668066,0.0016671947424387159,0.0016672677073170678,0.548391237830615,0.0016671942857330705,0.0016672392954903878,0.0016672283919021943
TCGA-A8-A08P-01A-11W-A019-09,0.0014711816925074938,0.0014709380316379507,0.25827324160870446,0.0014709408200643049,0.0014710041275749137,0.0014710362134959616,0.0014710153847292764,0.411364314471023,0.0014710075245988898,0.32006532012566363
TCGA-B6-A0RT-01A-21D-A099-09,0.001961644247676958,0.001961355321993795,0.001961339230830425,0.0019610680973002857,0.0019612077778689146,0.001961197460731719,0.2801775882497218,0.0019612768019276537,0.0019613400702347497,0.7041319827417137
TCGA-A2-A0CQ-01A-21W-A050-09,0.002703858833104926,0.0027034015062300104,0.0027033890661203163,0.18510988685274796,0.002703442190820965,0.0027034652974263704,0.0027034740755130958,0.41529807155430165,0.00310981135668964,0.3802611992670451
TCGA-B6-A0IE-01A-11W-A050-09,0.003125684162566246,0.0031259879421874906,0.003126269177154583,0.11752727120655473,0.0031260110748264356,0.0031259298071673308,0.0031260461156415393,0.003125929404682187,0.8574649362268044,0.003125934882415017
TCGA-BH-A0W7-01A-11D-A10Y-09,0.00046963097955410364,0.00046963041739113014,0.8746787828521867,0.03351210552328713,0.00046962141246480264,0.00046961081217632784,0.0004696030476831976,0.0004696083363937043,0.0004695997445050447,0.08852180687435776
TCGA-A2-A0EQ-01A-11W-A050-09,0.0004292738298304703,0.00042931838251691293,0.70866430288911,0.0004293042068113507,0.000429297975360868,0.09457199265324662,0.00042931840856653383,0.0004293129596177924,0.00042932050818352127,0.19375855818675583
TCGA-AR-A1AS-01A-11D-A12Q-09,0.06195041925703693,0.002500592686294685,0.09109576895931246,0.002501040298401117,0.36012838878843284,0.0025007018062973957,0.002500747008699584,0.47182080086479333,0.0025007752032379558,0.0025007651274939267
