,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6
TCGA-05-4422-01A-01D-1265-08,0.0036659448211721945,0.0036667280105218795,0.4666054834147453,0.0036614014097375237,0.5187255360369096,0.0036749063069135943
TCGA-44-7669-01A-21D-2063-08,0.2741717301857278,0.0061615556990475195,0.00035059568503734357,0.38808301193825767,0.19518270393686835,0.13605040255506146
TCGA-78-7535-01A-11D-2063-08,0.0009112078165198835,0.36285563785670344,0.0009095174153642884,0.08554095980541569,0.320772041773426,0.22901063533257068
TCGA-75-7031-01A-11D-1945-08,0.1263205878667397,0.21973854948783328,0.10208521067880075,0.0007875859305087148,0.26227638133780123,0.2887916846983163
TCGA-73-4666-01A-01D-1265-08,0.11820867248217494,0.09995844923610628,0.00042703953388303483,0.33930826028497135,0.36366980980353053,0.07842776865933385
TCGA-91-8499-01A-11D-2393-08,0.2431039283914326,0.08963825220493418,0.28093843880934194,0.0005077061479409447,0.24134558146025642,0.14446609298609386
TCGA-49-6761-01A-31D-1945-08,0.0008966181558471347,0.0008962857776365111,0.42637137459102736,0.08431059286427361,0.34957139849120356,0.13795373012001177
TCGA-55-6983-01A-11D-1945-08,0.03541764966822902,0.2790163830258992,0.0015325646674664306,0.0015330682382033135,0.3664074152159211,0.31609291918428106
TCGA-53-7624-01A-11D-2063-08,0.21360742140720226,0.12591320501127687,0.20309185899058266,0.2457518635305831,0.17156648853693757,0.04006916252341762
TCGA-86-7714-01A-12D-2167-08,0.002007656349577004,0.002007031438888488,0.0020047786939028115,0.15831416788884825,0.495747343028001,0.3399190226007825
TCGA-L9-A7SV-01A-11D-A397-08,0.030937115149511297,0.258729124557832,9.695644967649241e-05,0.7100429646195875,9.695482673265253e-05,9.688439666011948e-05
TCGA-97-A4M3-01A-11D-A24P-08,0.10073314474269693,0.3418650020053342,0.16712873204057385,0.31697058759708513,0.0007695765410611873,0.07253295707324867
TCGA-55-8620-01A-11D-2393-08,0.022685402777209034,0.1519979850890048,0.00032243001082443284,0.46258695280559037,0.20350305923121767,0.1589041700861538
TCGA-49-AAR3-01A-11D-A410-08,0.2821501828260417,0.0013593522484034724,0.0013609286556629451,0.0013589312834348408,0.6529930303088401,0.060777574677616936
TCGA-17-Z042-01A-01W-0746-08,0.23925114537867923,0.179989398276968,0.0003372640459040311,0.5271255526357179,0.01862351906063646,0.03467312060209428
TCGA-62-A46Y-01A-11D-A24D-08,0.005099315453617594,0.005099740816202761,0.005108831236214818,0.005100092601772915,0.005108413615481726,0.9744836062767103
TCGA-50-5068-01A-01D-1625-08,0.0018318096139671126,0.11990371602441943,0.06680898371020454,0.2193773404825561,0.0018328776906812074,0.5902452724781716
TCGA-78-7163-01A-12D-2063-08,0.008417791942171677,0.008409757158585754,0.008439046079269995,0.008436757212164107,0.00842258072534469,0.9578740668824637
TCGA-86-8281-01A-11D-2284-08,0.0006289741870375835,0.0006289058018842458,0.10855569837744937,0.653077425004175,0.029679076987976526,0.20742991964147736
TCGA-62-8395-01A-11D-2323-08,0.0022727874145402347,0.0022738932550269543,0.28963783654532765,0.0022708831630151635,0.0022734527634233194,0.7012711468586666
TCGA-MP-A4T6-01A-32D-A25L-08,0.002128922354707965,0.0021285281184140474,0.3627059774280821,0.0021287227415345057,0.002131656525877522,0.6287761928313838
TCGA-97-A4M5-01A-11D-A24P-08,0.0010383242516745631,0.001039235510418427,0.9948043688524036,0.0010386237069892953,0.0010381531119904505,0.001041294566523488
TCGA-62-8399-01A-21D-2323-08,0.11974660156379122,0.14344133742462406,0.4583372275815689,0.1804926995193717,0.00030641873391661,0.09767571517672764
TCGA-97-7547-01A-11D-2036-08,0.4332168012958565,0.0009575425331122922,0.28536554488269683,0.13637620049796498,0.0009574879680139144,0.14312642282235546
TCGA-44-3919-01A-02D-1105-08,0.0049667844311219915,0.004963805916717069,0.1033238990610007,0.004969434672006726,0.004966824123238133,0.8768092517959155
TCGA-44-3919-01A-02D-1458-08,0.004329451999563937,0.004325526548973702,0.28540951020207744,0.00432875072714161,0.00432692817816592,0.6972798323440774
TCGA-55-8514-01A-11D-2393-08,0.0583784088634307,0.1735996659098267,0.0005673731114603365,0.44360972216703976,0.13927498802455715,0.1845698419236854
TCGA-55-8094-01A-11D-2238-08,0.1409124500974009,0.37164907779128536,0.00035258548937829845,0.34765987466815645,0.009596556399610065,0.12982945555416897
TCGA-05-4425-01A-01D-1753-08,0.004101550613968244,0.004099852650790982,0.004128486560903529,0.004098127642684069,0.004107929946974634,0.9794640525846785
TCGA-44-3918-01A-01D-A271-08,0.22444411963691077,0.4454727267708978,0.05480550121185414,0.2749285030525994,0.00017462231502409203,0.0001745270127138203
TCGA-50-5942-01A-21D-1753-08,0.0029581525548650987,0.49479873756109655,0.002955520619137497,0.002957127294977657,0.14680218741754947,0.34952827455237373
TCGA-35-4123-01A-01D-1105-08,0.0005526184385776459,0.2219732309395418,0.0005528190392085409,0.5542018056983825,0.13938867950640196,0.0833308463778877
TCGA-49-AAR4-01A-12D-A410-08,0.2783361019807175,0.32036053056479524,0.18213145793320157,0.16367898174463663,0.0551994926516717,0.0002934351249774718
TCGA-44-8117-01A-11D-2238-08,0.2777782031565862,0.2607031173392075,0.00020747676081688893,0.40787097708514525,0.009862077822154666,0.043578147836089494
TCGA-50-5933-01A-11D-1753-08,0.13912031310256623,0.4687356219052184,0.03498879751979785,0.11543672359736909,0.09664256953112489,0.14507597434392355
TCGA-53-A4EZ-01A-12D-A24P-08,0.17877413798911865,0.03313420425175808,0.00030502078139152183,0.45812732719962923,0.27716427868473464,0.05249503109336791
TCGA-75-5122-01A-01D-1753-08,0.0012498112370611886,0.0012490974020047312,0.15199328952390276,0.10292773686977198,0.43477674904312014,0.30780331592413934
TCGA-55-6970-01A-11D-1945-08,0.0009311579399430257,0.26232300298793976,0.06982475942873208,0.4652278072072233,0.07398387251598973,0.1277093999201722
TCGA-44-A47A-01A-21D-A24D-08,0.19304731796978084,0.0007769615738159136,0.3787055102108988,0.0007767496719821592,0.20098697770866578,0.22570648286485648
TCGA-99-8032-01A-11D-2238-08,0.10756593078741528,0.2956694069031122,0.03690621802984167,0.4116896774177265,0.03719454472198958,0.11097422213991481
TCGA-NJ-A55R-01A-11D-A25L-08,0.2216655316775929,0.5397044040562626,0.0005935377262798302,0.0966351792482191,0.061765998947967235,0.07963534834367848
TCGA-44-7667-01A-31D-2063-08,0.0003475712492849773,0.22395228567063943,0.00034730214524663873,0.36752567092713423,0.2654104860764302,0.14241668393126464
TCGA-44-8120-01A-11D-2238-08,0.07457769184298467,0.3230068679092042,0.00026130882644949594,0.4989560253649963,0.07148633502864214,0.03171177102772326
TCGA-64-1679-01A-21D-2063-08,0.39660585831356265,0.24394436315641047,0.012415866817516663,0.3428129592517765,0.003901796200297967,0.0003191562604357578
TCGA-17-Z028-01A-01W-0746-08,0.3899398509566902,0.09412875319397612,0.08318881826478226,0.24479517313122984,0.10449667415308188,0.08345073030023975
TCGA-50-6594-01A-11D-1753-08,0.07345074946638507,0.1772959559017795,0.06698591469857582,0.5042327879303159,0.17772710337624387,0.0003074886267000662
