,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6
TCGA-E2-A1IJ-01A-11D-A142-09,0.011264505268197018,0.011258829518307468,0.01117327881217396,0.5652911642067264,0.011253806273866063,0.389758415920729
TCGA-BH-A1F5-01A-12D-A13L-09,0.005281384101174141,0.37817717114448324,0.00526637277244815,0.0052849726262115945,0.6007059039808181,0.005284195374864667
TCGA-BH-A0B5-01A-11D-A12Q-09,0.002857434853943548,0.0028736964525583517,0.7939955042054213,0.0028736564477162673,0.0028587688260566313,0.1945409392143039
TCGA-A2-A0YT-01A-11D-A10G-09,0.22710494150065344,0.3748911475671886,0.0029160139218571022,0.002907270680427958,0.38927168903751974,0.0029089372923530588
TCGA-A8-A083-01A-21W-A019-09,0.10446088413347956,0.005611613333148344,0.005608510751816104,0.005623549777599765,0.8730759468287491,0.00561949517520714
TCGA-BH-A0B4-01A-11W-A019-09,0.0024882154366713564,0.1260228315945456,0.09810611970100534,0.13181784847921782,0.6390866178525157,0.002478366936044003
TCGA-EW-A1P8-01A-11D-A142-09,0.004843115709208677,0.00482516791961238,0.0048233970988409355,0.004812795685378638,0.724649501180165,0.25604602240679425
TCGA-BH-A0GZ-01A-11W-A071-09,0.005236721642525764,0.2853624198715691,0.11961321779652459,0.005270865467399309,0.5792720019462214,0.005244773275759846
TCGA-A2-A0CV-01A-31D-A10Y-09,0.007651251191868399,0.45721158172030285,0.00777303603324425,0.0076748167920658375,0.007680559905336357,0.5120087543571822
TCGA-C8-A12Q-01A-11D-A10Y-09,0.07750906144595052,0.13245081239817313,0.6367688289033419,0.07862525889273761,0.07315130140929406,0.0014947369505028433
TCGA-AR-A1AL-01A-21D-A12Q-09,0.006213085377232601,0.2862865997342151,0.07005561304243697,0.00625311925220799,0.5348276209062797,0.09636396168762766
TCGA-BH-A1F6-01A-11D-A13L-09,0.0044487217707686105,0.00444114221863919,0.004449756492282063,0.004416743753281869,0.7319985356704252,0.2502451000946032
TCGA-AO-A12H-01A-11D-A10Y-09,0.007637701492536483,0.9617433577984684,0.0076411196323413495,0.0076401945034056595,0.007691476243026553,0.0076461503302216365
TCGA-B6-A0WY-01A-11D-A10G-09,0.0070136315322227106,0.40288800683793907,0.007077937777545283,0.1872915649832852,0.38868898023658527,0.007039878632422492
TCGA-AN-A0XP-01A-11D-A117-09,0.005871026256590665,0.005804649510223802,0.211524801610239,0.005799423868179986,0.5200645219230486,0.25093557683171785
TCGA-E9-A1NC-01A-12W-A16L-09,0.0024210181559312866,0.0024090012697401742,0.08686314450652056,0.22886544661952793,0.5253316546656345,0.15410973478264556
TCGA-LL-A740-01A-21D-A32I-09,0.003531941539061832,0.00351733643800209,0.11350485379137461,0.0035117728298596877,0.6437353466042759,0.23219874879742589
TCGA-E2-A15S-01A-11D-A10Y-09,0.003057539528777661,0.0030728073296596397,0.003073632397654787,0.14876732423981784,0.8389578239201341,0.0030708725839558677
TCGA-AN-A046-01A-21W-A050-09,0.9789987785084571,0.020254252556283454,2.8211347966937336e-05,0.0006623028154350853,2.821289763394333e-05,2.824187422336631e-05
TCGA-EW-A6SB-01A-12D-A32I-09,0.002845805226869729,0.17806994350041636,0.021046168462237884,0.00286072726296751,0.5263399779815882,0.26883737756592035
TCGA-E9-A1R5-01A-11D-A14K-09,0.003735712565810812,0.6679137502787899,0.07754164244412792,0.0037499501841475,0.24331778340488275,0.003741161122241133
TCGA-Z7-A8R5-01A-42D-A41F-09,0.007277789333750713,0.3289689158691197,0.00734468687798803,0.007350336137064563,0.007312446337382521,0.6417458254446945
TCGA-BH-A1ES-01A-11D-A135-09,0.34152391268803417,0.007677843681834431,0.16925645895460287,0.466179897206475,0.007664491640500894,0.0076973958285527135
TCGA-A8-A07U-01A-11W-A050-09,0.00255847197338264,0.2986894367845041,0.4278270949053251,0.15596676350883554,0.11240994051060128,0.002548292317351549
TCGA-E2-A1B5-01A-21D-A12Q-09,0.19039389654615907,0.27005000366702714,0.5262493273837937,0.004426127813232542,0.004434619828481802,0.00444602476130587
TCGA-C8-A9FZ-01A-11D-A41F-09,0.008838226438971522,0.5823198450852997,0.008890682499617785,0.008868416402266273,0.3821804039498509,0.008902425623993944
TCGA-E2-A15A-06A-11D-A12B-09,0.005131031739931812,0.8425445762706311,0.0051256147208772794,0.005131289992822864,0.1369588642855444,0.005108622990192688
TCGA-B6-A0RG-01A-11W-A071-09,0.0028535683349002723,0.08180023589310936,0.12561566028505275,0.0028636203723421626,0.7840090979199439,0.002857817194651475
TCGA-E2-A1B0-01A-11D-A12Q-09,0.0033071381027922537,0.3213002926230771,0.12332815948167104,0.003297591682422009,0.3885385237540343,0.16022829435600328
TCGA-AO-A12A-01A-21D-A10Y-09,0.009845165780171439,0.9503244802693293,0.009937629465581545,0.009928211563625134,0.009991530945282484,0.009972981976010153
TCGA-A2-A0D2-01A-21W-A050-09,0.0020082903591361143,0.0020073563220538598,0.08297024891010676,0.002004457322922171,0.9089982310272746,0.002011416058506467
TCGA-AN-A04C-01A-21W-A050-09,0.002197076822404146,0.3218146543803386,0.002192536138359768,0.0021904625392569744,0.42909838957556473,0.24250688054407582
TCGA-A7-A0CG-01A-11W-A019-09,0.0033036964666835022,0.5400333907184396,0.26530413507830714,0.0033021207817243124,0.0033106405793517694,0.18474601637549354
TCGA-GM-A2DI-01A-31D-A18P-09,0.002636341744116521,0.00264228000828796,0.9868464548456508,0.002616606899434467,0.0026224146305232907,0.0026359018719868932
TCGA-C8-A12K-01A-21D-A10Y-09,0.0012259762821270864,0.001230652314783213,0.291017830669966,0.0012321143624983444,0.7040632969230448,0.001230129447580479
TCGA-GM-A2D9-01A-11D-A18P-09,0.00033693138978718886,0.025889055923039986,0.97276390833975,0.0003366086030354907,0.00033621247169867796,0.000337283272688695
TCGA-A7-A26J-01B-02D-A272-09,0.008880725298874086,0.37983372335358845,0.00886491418197657,0.008880538599443209,0.5846932522850585,0.00884684628105923
