,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6
TCGA-AA-3544-01A-01D-1953-10,0.006450255118779667,0.006472409878593546,0.8026120239422984,0.006509362450338462,0.1714606943864293,0.006495254223560643
TCGA-AA-3695-01A-01W-0900-09,0.0010220267283175609,0.05309544386652982,0.7595274736511186,0.0010212581615568906,0.001021739524262222,0.1843120580682149
TCGA-CM-6170-01A-11D-1650-10,0.0016941095626960786,0.0016953340260588427,0.7619752670992773,0.23123125386934323,0.0016997041290884249,0.0017043313135360922
TCGA-AA-3549-01A-02D-1953-10,0.008821106677519869,0.008833583890096025,0.008958591356693158,0.008853118187655887,0.008871112046748396,0.9556624878412867
TCGA-AA-A022-01A-21D-A17O-10,0.00011392519090728204,0.00011398392464149482,0.023023951750800294,0.0077953628623963905,0.012467941049644554,0.9564848352216099
TCGA-CM-5860-01A-01D-1650-10,0.0014268513617268557,0.0014300180880024676,0.8601777908507929,0.0014256562409046712,0.0014290059575255663,0.13411067750104755
TCGA-AA-3984-01A-02W-0995-10,0.25589217009880116,0.11649041873723749,3.4302567805540356e-05,3.4296867779287296e-05,0.6204289740730357,0.007119837655340843
TCGA-AA-3675-01A-02W-0900-09,0.0016694916772792422,0.001668883654119291,0.925150495251464,0.0016718486509038923,0.001671851678360465,0.06816742908787311
TCGA-CM-5341-01A-01D-1408-10,0.0010397235593910552,0.0010384665260489985,0.8668206716833252,0.0010413802872080546,0.0010396723757415498,0.129020085568285
TCGA-CM-5863-01A-21D-1835-10,0.00313588279641935,0.003136695981353563,0.9035295127369831,0.0031135967713443666,0.003131671501457363,0.08395264021244235
TCGA-AA-3561-01A-01D-1953-10,0.009285950815567129,0.009308149522088464,0.9533327570677381,0.009357588969223573,0.009318940945882249,0.0093966126795006
TCGA-DM-A28K-01A-21D-A16V-10,0.0015328374904717828,0.0015349702838140617,0.7071282759266636,0.0015325384635394143,0.0015338484798391565,0.2867375293556719
TCGA-AD-6965-01A-11D-1924-10,0.0012605115299252736,0.0012617529197958685,0.656631290093507,0.001258140425152967,0.0012599587091194015,0.3383283463224996
