,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
TCGA-93-8067-01A-11D-2284-08,0.00022640807063127862,0.00022642186491406217,0.9984151166036754,0.00022643122890536328,0.00022639693634515247,0.00022639161598551856,0.00022641956955710637,0.00022641410998608475
TCGA-93-8067-01D-01D-A38P-08,0.0006590837477318285,0.0625766677144908,0.9334691989858377,0.0006591279833622402,0.0006589486128446018,0.0006589089587951832,0.0006590151259599949,0.0006590488709776278
TCGA-93-8067-01C-01D-A38P-08,0.00043632612800606176,0.00043635714214024094,0.9969458004248959,0.0004363727800390304,0.0004362730508469054,0.00043621550604447704,0.0004363337584220256,0.0004363212096053263
TCGA-86-8674-01A-21D-2393-08,0.13005643779098422,0.02471190416367723,0.10078470870546857,0.6085804312189433,0.1346347913550915,0.0004105908727255352,0.00041056007061805283,0.0004105758224915448
TCGA-75-5146-01A-01D-1625-08,0.031294041392772795,0.2570130180822725,0.0006456034848182622,0.3700294675174853,0.22563690852145835,0.0006454640238024692,0.0006455235574912797,0.11408997341989918
TCGA-97-7546-01A-11D-2036-08,0.00042448828406625353,0.4431185956898219,0.00042440163571034665,0.24285897240075702,0.013596720054068197,0.00042457406902035274,0.20685781676973,0.09229443109682595
TCGA-73-4677-01A-01D-1265-08,0.0004707824339395439,0.01494783432338899,0.05488198253147541,0.5464108724756817,0.00047077693463251755,0.11628692093765589,0.00047074495246299405,0.26606008541076304
TCGA-69-7764-01A-11D-2167-08,0.0013612250358162581,0.0013611807779684416,0.0013613794242479976,0.0013612580633537907,0.4173574835658513,0.5744749626974962,0.0013613085311541743,0.0013612019041118297
TCGA-17-Z050-01A-01W-0747-08,0.0007197372233940424,0.000719749444732325,0.13535490282767576,0.000719723427764866,0.0007197077258885673,0.308931022159201,0.07769690872136188,0.47513824846998154
TCGA-49-6744-01A-11D-1855-08,0.036678845586619074,0.531274289420873,0.0005851711509608889,0.19912103085276286,0.1184722189060578,0.0005851732400114096,0.0005852072778808034,0.11269806356483418
TCGA-L4-A4E6-01A-11D-A24D-08,0.01391102977033969,0.013911408292345918,0.25465556358585173,0.013912136150486197,0.013905600334286368,0.013902870642493303,0.01391758041517249,0.6618838108090243
TCGA-55-6987-01A-11D-1945-08,0.037171073409232834,0.0006843690383218299,0.39083071801263863,0.3320153373688714,0.0006806207260375843,0.0006807564073388409,0.20991076755280097,0.028026357484758003
