,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
TCGA-71-8520-01A-11D-2393-08,0.0010756246198941296,0.001075640954166603,0.20928400554900572,0.0010756625671577836,0.0010756248523312306,0.5974800844857874,0.0010756088669775276,0.0010755769923968695,0.001075670861494271,0.18570650025078847
TCGA-93-A4JO-01A-21D-A24P-08,0.0019613796688331326,0.00196139753773382,0.2626593616305178,0.0019613774927976714,0.5410746096926573,0.027453509188005498,0.001961389969665351,0.0019613331631379094,0.0019613152355352392,0.15704432642111635
TCGA-44-2656-01A-02D-0969-08,0.00010920219777305918,0.00010920214676190809,0.00010920356315455458,0.6828235820137398,0.00010920221037257475,0.00010920506621180425,0.00010920262938169553,0.012824760413410253,0.3035872369592489,0.00010920279994550761
TCGA-NJ-A4YP-01A-11D-A25L-08,0.0001698295612786379,0.00016982984122512616,0.8474514941844264,0.055149987042596035,0.00016983009228131564,0.00016982152610818513,0.00016982695370848874,0.00016982765073601962,0.09620972727636913,0.00016982587127079634
TCGA-44-2656-01A-02D-A271-08,0.00011993824373664888,0.00011993889010936306,0.00011993581334252988,0.5800933310823307,0.0001199378664749034,0.00011993894688787405,0.00011993743144252498,0.00011993926456109075,0.41894716440980956,0.00011993805130484026
TCGA-49-AAR9-01A-21D-A410-08,0.025324826276868558,0.20634341469614445,0.00014581134371174944,0.020351677094650186,0.00014581558622964142,0.0001458174629560238,0.00014581599209384743,0.026027985099782523,0.7212230225785711,0.00014581386899202985
TCGA-86-8074-01A-11D-2238-08,0.0013892672626795491,0.0013892854832377418,0.0013893256055938848,0.001389280881922108,0.48303031228833654,0.5058553349783523,0.0013892746013361627,0.0013893101635947553,0.0013892500024800301,0.0013893587324668606
TCGA-05-4422-01A-01D-1265-08,0.002174594596685623,0.0021745865433356647,0.40404402022198754,0.0021745094502819548,0.5283109268903258,0.052423188253157095,0.0021745576449701156,0.0021745818858844926,0.0021745722600469506,0.002174462253324714
TCGA-44-7669-01A-21D-2063-08,0.19380360156955687,0.00020839351998270508,0.00020838737725727136,0.24484774184103494,0.04943050526373169,0.014416000344483667,0.0002083947956297639,0.2998869634265286,0.19678161324759869,0.00020839861419586481
TCGA-78-7535-01A-11D-2063-08,0.0005406985337942889,0.2482662958328726,0.000540661906819981,0.21718312187105293,0.41633230187593606,0.11497411647115818,0.0005406939094783426,0.0005406989091492244,0.000540703315918287,0.0005407073738199843
