,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
TCGA-CA-5255-01A-11D-1835-10,0.002782805603752184,0.002782962706477751,0.0027830331404378413,0.002777790505655841,0.16868031178869788,0.2011204073551215,0.6162892308088751,0.0027834580909819272
TCGA-AA-3858-01A-01W-0900-09,0.0019864641336396448,0.001986928504919556,0.0019879926197023186,0.0019841331456320215,0.0019871966172459164,0.001987499885197585,0.5979124591679547,0.3901673259257085
TCGA-G4-6321-01A-11D-1719-10,0.0019566718261708085,0.0019567920715732163,0.0019568177539908966,0.001953129406974309,0.058549975382187,0.001956128362321115,0.632896925691043,0.29877355950573964
TCGA-AA-A02K-01A-21W-A096-10,0.0008943531085232178,0.0008944333901114665,0.0008944634785197839,0.0008928601638969854,0.000894406831837773,0.20619409109359974,0.7884408903653024,0.0008945015682084058
TCGA-AA-3697-01A-01D-1719-10,0.0006110297569934591,0.0006109196574089303,0.0006109088141956615,0.0006097585629502651,0.03354077402963148,0.0006110063953548395,0.9627948218340379,0.0006107809494276367
TCGA-AZ-4616-01A-21D-1835-10,0.09924980492539723,0.0012907716477260354,0.0012912157170848382,0.0012886648685084224,0.0012907135458252444,0.0012910946661047987,0.7135144274138809,0.1807833072154725
TCGA-AA-3861-01A-01W-0995-10,0.0010264740591672088,0.02596637743406771,0.0010266065915120076,0.0010245933667208354,0.0010258850346909663,0.0010263300274371398,0.7054261310103697,0.26347760247603447
TCGA-AA-3986-01A-02W-0995-10,0.12370636969460042,0.0013466446152933177,0.0013463028724544689,0.00134408891650921,0.001346101967885388,0.0013461633026241194,0.39021336896358955,0.4793509596670435
TCGA-A6-6653-01A-11D-1771-10,0.00011683298054728269,0.0001168318192344048,0.00011683548356389948,0.00011660484864152562,0.00011684136100775962,0.31304200674881494,0.03622146198350644,0.6501525847746836
TCGA-F4-6570-01A-11D-1771-10,7.789132060975355e-05,7.788873201625772e-05,7.788664224914734e-05,7.773656946850453e-05,0.02370617053383544,0.5594195141096462,0.09973543229911742,0.3168274797930573
