,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
TCGA-AR-A255-01A-11D-A167-09,0.14713850860781702,0.3691661236573687,0.2693799551974143,0.0020868287057737027,0.002087658324405373,0.20596637986101146,0.002087194902878129,0.002087350743331164
TCGA-A8-A08P-01A-11W-A019-09,0.0018428330295538382,0.001841194561720003,0.1586601662592743,0.0018414322088642911,0.17470386101322846,0.001842047419174622,0.27763269204663243,0.381635773461552
TCGA-B6-A0RT-01A-21D-A099-09,0.0485154218795248,0.0024561768188801135,0.0024547351741313096,0.0024530193585585365,0.0024545339315128886,0.0024543188614804022,0.5910565535913141,0.34815524038459783
TCGA-A2-A0CQ-01A-21W-A050-09,0.003389008821718211,0.0033835341576517733,0.0033847354551855735,0.15307919743508494,0.00338514716229284,0.003384161989509063,0.003385061893528765,0.8266091530850288
TCGA-B6-A0IE-01A-11W-A050-09,0.003913470520454579,0.0039138286468700005,0.0039139541001085975,0.003915850744076486,0.17173631185492313,0.0039140530673994825,0.003912669035506905,0.8047798620306609
TCGA-BH-A0W7-01A-11D-A10Y-09,0.0005879421287877718,0.0736967772061413,0.8774023906850901,0.045961214946909135,0.0005877901827418422,0.0005880728276501467,0.0005878575040372922,0.0005879545186423786
TCGA-A2-A0EQ-01A-11W-A050-09,0.000537173063622873,0.0005375554947583047,0.6254145620344859,0.0005374316516193565,0.0005374225503731094,0.08567683103657374,0.23604326075562737,0.05071576341293955
TCGA-AR-A1AS-01A-11D-A12Q-09,0.07719837833925942,0.0031300869329715588,0.21401498203497019,0.12722607240691314,0.26013620296140555,0.0031305275152384137,0.0031295666971355653,0.31203418311210607
TCGA-D8-A27K-01A-11D-A16D-09,0.0062595634659775735,0.006259551782698791,0.006262454349838551,0.006266094031980233,0.4059367606156426,0.1337381588074301,0.0062621221297293715,0.42901529481670275
TCGA-BH-A0BF-01A-21D-A12Q-09,0.004040928741755885,0.004038097823811791,0.004045999061168116,0.06294754910719486,0.004041071750494769,0.004039973588989482,0.004041984273786628,0.9128043956527986
TCGA-E2-A1IJ-01A-11D-A142-09,0.008349294210008636,0.4396459678990765,0.008341794071594114,0.008358607016774778,0.008349107397671161,0.008351346393347685,0.008343425973593522,0.5102604570379337
TCGA-BH-A1F5-01A-12D-A13L-09,0.003912120783661069,0.4595899318975996,0.0039119579996115495,0.003915123893780135,0.2962635651290284,0.00391454642145429,0.003912635763017478,0.22458011811184733
