,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
TCGA-A6-3810-01A-01D-A270-10,0.0005849506976182275,0.0005849548316880448,0.0005849752967893875,0.0005847953723169122,0.0005849867447562906,0.11286118599811949,0.8824592435476241,0.000584974542768134,0.0005849714548354857,0.000584961513484225
TCGA-G4-6299-01A-11D-1771-10,0.0006099217280808489,0.0006099387164237125,0.0006099383679775941,0.0006097561650210715,0.0006099224738688434,0.11191590693168624,0.8304942715011079,0.0006099373570492937,0.05332045766178657,0.0006099490969978224
TCGA-A6-3807-01A-01W-0995-10,0.0009526453341793997,0.0009526474696190605,0.056922636505953667,0.0009523810423282057,0.19247168390955843,0.0009526074748682431,0.7439374335540226,0.000952614513352917,0.0009526851921718197,0.0009526650039455369
TCGA-CM-5868-01A-01D-1650-10,0.0009904123860761318,0.000990382442143426,0.000990392887553272,0.0009900991132174876,0.0009904202724304284,0.18002838722059977,0.5375997611596922,0.1865163800925978,0.08991337781409155,0.0009903866115977627
TCGA-A6-A567-01A-31D-A28G-10,0.001563060288115458,0.0015630066019625133,0.12250086244802957,0.0015625001363631576,0.0015628938730542943,0.0015629160003445153,0.8649957854450291,0.0015629822516129007,0.0015629984407064834,0.0015629945147821666
TCGA-AA-3973-01A-01W-0995-10,0.0012503494499087507,0.0012503253843490836,0.0012504656747883125,0.0012500001183168416,0.1746121817309762,0.001250300845023072,0.8153853579006118,0.0012503670587721252,0.0012503984104416594,0.0012502534268120722
TCGA-CK-4951-01A-01D-1408-10,2.0652815791534506e-05,2.065335326895879e-05,2.0653409004151175e-05,2.0648360655558166e-05,0.4847976823817738,0.22495779659949583,0.22280408895971437,0.0673165183436016,2.0652858997248205e-05,2.0652917696952502e-05
TCGA-CA-5254-01A-21D-1835-10,0.0004903321416081729,0.0004903386460328729,0.000490351240357755,0.0004901961289820539,0.0004903575379953368,0.0004903499660854095,0.6795966461458802,0.29385243389453286,0.02311866236159029,0.0004903319369348617
TCGA-AA-3492-01A-01D-1408-10,4.89135535840359e-05,4.8913810860191014e-05,0.020621126718051875,4.889976001699977e-05,0.026233946111266754,0.5826358345793826,0.05008194637237715,0.32018259057178605,4.891466988374461e-05,4.891385279060686e-05
TCGA-AZ-6600-01A-11D-1771-10,0.0006995091601574449,0.06805851527024091,0.0006994948757340825,0.0006993007743861529,0.0006994768688215493,0.0006995068728471986,0.9263457133878659,0.0006995035050405552,0.0006994889750632644,0.0006994903098428998
TCGA-AA-3845-01A-01D-1981-10,0.00010322954787869895,0.03729561832740702,0.00010322861877201755,0.00010319918337033351,0.00010322834844564821,0.5511101211621117,0.07715417975118105,0.33382073923661204,0.00010322674572956742,0.00010322907849190981
TCGA-DM-A28M-01A-12D-A16V-10,0.0010641633962149726,0.001064150786991334,0.001064164709281369,0.0010638298596708185,0.0010641770842780005,0.0010641020090619562,0.5900402380890146,0.40144691301827784,0.0010641293659962158,0.0010641316812129158
TCGA-A6-2674-01B-04D-A270-10,0.0011908676028577988,0.0011908616394903154,0.0011908252818087228,0.0011904762785887168,0.0011908161101902679,0.0011908746792340036,0.9239887097691147,0.0011908336968877984,0.06648481853328465,0.0011909164085428523
TCGA-AA-A01T-01A-21W-A096-10,0.00103123496015198,0.0010312303014664004,0.0010312514749493413,0.0010309279309766225,0.001031362378756624,0.001031218738590252,0.9907190726963124,0.0010312055295767395,0.001031282629118958,0.0010312133601006255
TCGA-AA-3519-01A-02D-1953-10,0.003704705761326263,0.0037049376254651317,0.0037051435720518314,0.003703703982747489,0.0037048883330505285,0.0037046694623477233,0.4622424268409574,0.5081201992179795,0.003704493951611599,0.003704831252462539
TCGA-G4-6315-01A-11D-1719-10,0.000653811642667195,0.0006538000638539078,0.0006538000056165158,0.0006535948226087692,0.0006538036478939955,0.0006537942727856756,0.8253717251904655,0.11953673576825125,0.05051515630111372,0.0006537782847433521
TCGA-AA-3667-01A-01W-0900-09,0.0014709641135063152,0.0014709822532549715,0.0014710802819954951,0.0014705884335857158,0.22160497245237148,0.0014711226463567301,0.7666271019765962,0.0014710631736954188,0.0014711943863595772,0.0014709302822779656
TCGA-G4-6293-01A-11D-1719-10,0.0008133802112308239,0.000813333945170163,0.0008132828344119879,0.0008130081997140189,0.0665022466774635,0.0008132761959911306,0.8384394050803796,0.0893654099648387,0.000813310495401021,0.0008133463953990059
TCGA-G4-6323-01A-11D-1719-10,0.0011367195407634629,0.0011366866663592716,0.0011366595192029766,0.001136363740368287,0.001136701530991523,0.0011367122691398157,0.6362022035569896,0.3547046015742915,0.0011366919493140226,0.0011366596525794143
TCGA-AA-3877-01A-01W-0995-10,9.003199182015967e-05,9.00330526541116e-05,9.003611177574567e-05,9.000900935616799e-05,9.003570873301244e-05,0.2962523512009239,0.0980106871803637,0.6051067528603136,9.003182946739592e-05,9.003105459228824e-05
TCGA-A6-6651-01A-21D-1835-10,0.0011365879664526353,0.0011366150404739223,0.0011366312997024284,0.001136363770368638,0.0011366924605410915,0.08466673232059403,0.9062403387083189,0.0011366661998617824,0.0011367231903074526,0.0011366490433793223
TCGA-F4-6460-01A-11D-1771-10,0.0006371439461069131,0.0006371428127903329,0.0006371533749932497,0.0006369427379424437,0.000637164814859626,0.0006371558021378191,0.9063859671216262,0.0006371365509886526,0.0006371368833911179,0.08851705595516363
TCGA-AD-5900-01A-11D-1650-10,6.846502939197585e-05,6.846595987093174e-05,0.012740822664279552,6.84462757162583e-05,0.005916818506994651,0.5526452901724109,6.846686458109849e-05,0.4282862931268463,6.846571646761905e-05,6.84656834406406e-05
TCGA-AA-3851-01A-01W-0995-10,0.0010755238444977206,0.0010755325339257798,0.001075628715257042,0.0010752689235396702,0.001075445678650026,0.0010756012762099777,0.7247432715805106,0.19244404340128757,0.075284188970802,0.0010754950753194823
TCGA-D5-5540-01A-01D-1650-10,0.0008335579490372615,0.0008335713442518328,0.0008335915035665887,0.0008333333917025827,0.0008335450453950589,0.0008335428539877869,0.9924981626435215,0.0008335986402841273,0.0008335549926418575,0.000833541635611333
TCGA-CM-6161-01A-11D-1650-10,0.0010003223235638009,0.0010003141090702472,0.0010003265199590833,0.001000000076774172,0.08936672267949988,0.0010002649901157076,0.7169967260840796,0.1866346643309114,0.0010003304916800873,0.0010003283943461475
TCGA-G4-6297-01A-11D-1719-10,0.001111490038923796,0.0011114842402363762,0.06447681267966313,0.0011111112213640394,0.0011114275630810628,0.0011114265450168975,0.5726382659270273,0.35510500284704155,0.0011114786531253233,0.0011115002845205426
TCGA-5M-AAT5-01A-21D-A40P-10,0.05492315578720007,0.0013161542445483403,0.0013161447780963534,0.0013157895561661597,0.0013161578931590414,0.0013161018587277465,0.6466801313588618,0.2891840946030984,0.0013161582794826057,0.0013161116406592665
TCGA-AA-3982-01A-02W-0995-10,0.0007939335168293402,0.000793924802608832,0.0007939537051974029,0.0007936508777343869,0.0007939357151784661,0.0007939016692405399,0.9928548897166994,0.0007939003039998631,0.0007939666851048376,0.0007939430074067157
TCGA-AA-3875-01A-01W-0900-09,0.0007694393552254584,0.0007694574432801223,0.0007694814977873457,0.0007692308338888744,0.0007694717547419885,0.0007694762616333356,0.9930751722373253,0.000769481046391041,0.0007693976808998766,0.0007693918888270299
TCGA-AA-3509-01A-01D-1408-10,0.0010641281198844649,0.0010641078741992051,0.0010641844268354519,0.0010638298664976786,0.00106407341507474,0.001064080868553394,0.7460178545021932,0.2454694075191366,0.0010642455831593154,0.001064087824465983
TCGA-AD-6963-01A-11D-1924-10,0.0013160020928516816,0.0013160912852366192,0.0013160795929097397,0.001315789619673254,0.0013161839314465705,0.09739901081586952,0.8920724918779964,0.001316205103855432,0.0013160566464295142,0.0013160890337312022
TCGA-AA-3502-01A-01D-1408-10,0.0004976763659687767,0.0004976698266902393,0.0004976783577512889,0.0004975124866651222,0.0004976362727033392,0.0004976436986852171,0.664741505288452,0.3312773574905097,0.000497663907128852,0.000497656305445555
TCGA-G4-6302-01A-11D-1719-10,0.0001087294160874705,0.02449864377089412,0.000108728176454342,0.00010869566174449084,0.00010872936338007479,0.6197433811010508,0.10348697588836059,0.25161866219705176,0.00010872610881105237,0.0001087283161653417
